810,AMINO,,AMINO,AMINOACIDOS MATERIA PRIMA,,0,,0,0,0,0,0,,,,0,,0,100,0,0,0,99,0,0,0,98,0,0,0,97,0,0,0,96,0,0,0,95,0,0,0,94,0,0,0,93,0,0,0,92,0,0,0,91,0,0,,,,,,,False,False,False,
783,AMONIA,,AMONIA,AMONIACO,,0,,0,0,0,0,0,,,,0,,0,100,0,0,0,99,0,0,0,98,0,0,0,97,0,0,0,96,0,0,0,95,0,0,0,94,0,0,0,93,0,0,0,92,0,0,0,91,0,0,,,,,,,False,False,False,
812,ANTIOXIDANTE,,ANTIOXIDANTE,ANTIOXIDANTE,,0,,0,0,128.99,0,0,,,,0,,0,100,0,0,0,99,0,0,0,98,0,0,0,97,0,0,0,96,0,0,0,95,0,0,0,94,0,0,0,93,0,0,0,92,0,0,0,91,0,0,,,,,,,False,False,False,
822,APERLA,,APERLA,REFORZADOR COLOR APERLADO,,0,,0,0,36.88,0,0,,,,0,,0,100,0,0,0,99,0,0,0,98,0,0,0,97,0,0,0,96,0,0,0,95,0,0,0,94,0,0,0,93,0,0,0,92,0,0,0,91,0,0,,,,,,,False,False,False,
716,ARG,,ARG,ARGINOL,,0,,0,0,0,0,0,,,,0,,0,100,0,0,0,99,0,0,0,98,0,0,0,97,0,0,0,96,0,0,0,95,0,0,0,94,0,0,0,93,0,0,0,92,0,0,0,91,0,0,,,,,,,False,False,False,
531,AROCANCON,,7.50305E+12,AROMATIZANTE TIPO CANELA CONCETRADO,,0,,0,0,14,0,0,,,,0,,33,100,0,1.99,30,99,2,5.99,28.62,98,6,9.99,27.09,97,10,100000,26.39,96,0,0,26.39,95,0,0,30,94,0,0,26.39,93,0,0,26.39,92,0,0,22.29,99,0,0,,,,,,IVA,False,False,False,6
349,AROCHACON,,7.50305E+12,AROMATIZANTE  TIPO CHANNEL CONCENTRADO,,0,49,0,0,17.8,17.57,17.57,,,,0,,33,100,0,1.99,30,99,2,5.99,28.62,98,6,9.99,27.09,97,10,100000,26.39,96,0,0,26.39,95,0,0,30,94,0,0,26.39,93,0,0,26.39,92,0,0,22.29,99,0,0,,,,,,IVA,False,False,False,6
533,AROCHICCON2,,7.50305E+12,AROMATIZANTE TIPO CHICLE CONCENTRADO,,0,49,0,0,15.24,10.2,10.2,,,,0,,25,100,0,1.99,23,99,2,5.99,22,98,6,9.99,19.74,97,10,100000,19.2,96,0,0,19.2,95,0,0,23,94,0,0,19.2,93,0,0,19.2,92,0,0,16.45,99,0,0,,,,,,IVA,False,False,False,6
4,ARODRACON,,7.50305E+12,AROMATIZANTE TIPO DRACKAR CONCENTRADO,,0,49,0,0,19,17.76,17.76,,,,0,,33,137.03,0,1.99,30,114.81,2,5.99,28.62,85.18,6,9.99,27.09,62.96,10,100000,26.39,0,0,0,26.39,0,0,0,30,0,0,0,26.39,0,0,0,26.39,0,0,0,22.29,114.81,0,0,,MN,QUIMICOS,AROMAS,,IVA,False,False,False,6
420,AROESTCON,,7.50305E+12,AROMATIZANTE  TIPO ESTEFANO CONCENTRADO,,0,49,0,0,17.75,15.23,15.23,,,,0,,33,100,0,1.99,30,99,2,5.99,28.62,98,6,9.99,27.09,97,10,100000,26.39,96,0,0,26.39,95,0,0,30,94,0,0,26.39,93,0,0,26.39,92,0,0,22.29,99,0,0,,MN,QUIMICOS,AROMAS,,IVA,False,False,False,6
529,AROETECON,,7.50305E+12,AROMATIZANTE TIPO ETERNETY CONCENTRADO,,0,49,0,0,16,13.55,13.36,,,,0,,30,100,0,1.99,27,99,2,5.99,26.35,98,6,9.99,25.09,97,10,100000,24.6,96,0,0,24.6,95,0,0,27,94,0,0,24.6,93,0,0,24.6,92,0,0,20.65,99,0,0,,,,,,IVA,False,False,False,6
